,activity,before_break,date,day,h1,h2,h3,h4,h5,player,practice,type
2881,pre,True,2017-09-06 15:40:00,Wednesday,3.0,2.0,0.0,1.0,0.0,off guard,Louisiana #2,wed
2880,pre,True,2017-09-06 15:40:00,Wednesday,0.0,3.0,0.0,0.0,0.0,def tackle,Louisiana #2,wed
2792,post,False,2017-09-06 17:40:00,Wednesday,2.0,1.0,0.0,0.0,0.0,safety,Louisiana #2,wed
2791,pre,True,2017-09-07 15:30:00,Thursday,1.0,1.0,0.0,0.0,0.0,safety,Louisiana #3,thurs
2790,pre,True,2017-09-07 15:35:00,Thursday,1.0,1.0,0.0,0.0,0.0,tight end,Louisiana #3,thurs
2789,pre,True,2017-09-07 15:35:00,Thursday,2.0,0.0,0.0,0.0,0.0,off guard,Louisiana #3,thurs
2788,pre,True,2017-09-07 15:35:00,Thursday,0.0,1.0,0.0,0.0,0.0,def tackle,Louisiana #3,thurs
2787,pre,True,2017-09-07 15:35:00,Thursday,1.0,0.0,0.0,0.0,0.0,def end,Louisiana #3,thurs
2786,pre,True,2017-09-07 15:40:00,Thursday,2.0,0.0,0.0,0.0,0.0,off guard,Louisiana #3,thurs
2785,pre,True,2017-09-07 15:40:00,Thursday,0.0,1.0,0.0,0.0,0.0,wide receiver,Louisiana #3,thurs
2784,pre,True,2017-09-07 15:40:00,Thursday,1.0,0.0,0.0,0.0,0.0,def end,Louisiana #3,thurs
2783,pre,True,2017-09-07 15:40:00,Thursday,1.0,0.0,0.0,0.0,0.0,def end,Louisiana #3,thurs
2726,pre,True,2017-09-09 14:30:00,Saturday,1.0,0.0,0.0,0.0,0.0,tight end,Louisiana Game,game
2728,pre,True,2017-09-09 14:30:00,Saturday,0.0,1.0,0.0,0.0,0.0,wide receiver,Louisiana Game,game
2727,pre,True,2017-09-09 14:30:00,Saturday,2.0,1.0,0.0,0.0,0.0,cornerback,Louisiana Game,game
2724,pre,True,2017-09-09 14:35:00,Saturday,0.0,1.0,0.0,0.0,0.0,running back,Louisiana Game,game
2725,pre,True,2017-09-09 14:35:00,Saturday,1.0,0.0,1.0,0.0,0.0,linebacker,Louisiana Game,game
2723,pre,True,2017-09-09 14:35:00,Saturday,1.0,0.0,1.0,3.0,1.0,linebacker,Louisiana Game,game
2722,pre,True,2017-09-09 14:35:00,Saturday,2.0,1.0,0.0,0.0,0.0,cornerback,Louisiana Game,game
2721,pre,True,2017-09-09 14:35:00,Saturday,1.0,0.0,0.0,0.0,0.0,def tackle,Louisiana Game,game
2720,pre,True,2017-09-09 14:35:00,Saturday,1.0,0.0,0.0,0.0,0.0,cornerback,Louisiana Game,game
2719,pre,True,2017-09-09 14:35:00,Saturday,2.0,0.0,0.0,0.0,0.0,safety,Louisiana Game,game
2718,pre,True,2017-09-09 14:35:00,Saturday,4.0,1.0,0.0,0.0,0.0,tight end,Louisiana Game,game
2717,pre,True,2017-09-09 14:40:00,Saturday,0.0,1.0,0.0,0.0,0.0,wide receiver,Louisiana Game,game
2516,pre,True,2017-09-12 15:35:00,Tuesday,1.0,1.0,0.0,0.0,0.0,off guard,Toledo #1,tues
2515,pre,True,2017-09-12 15:35:00,Tuesday,2.0,0.0,0.0,0.0,0.0,tight end,Toledo #1,tues
2514,pre,True,2017-09-12 15:40:00,Tuesday,1.0,0.0,1.0,0.0,0.0,wide receiver,Toledo #1,tues
2513,pre,True,2017-09-12 15:40:00,Tuesday,2.0,0.0,1.0,0.0,0.0,off guard,Toledo #1,tues
2438,pre,True,2017-09-13 15:35:00,Wednesday,1.0,0.0,0.0,0.0,0.0,off guard,Toledo #2,wed
2436,pre,True,2017-09-13 15:40:00,Wednesday,1.0,0.0,0.0,0.0,0.0,off tackle,Toledo #2,wed
2437,pre,True,2017-09-13 15:40:00,Wednesday,1.0,0.0,0.0,0.0,0.0,off tackle,Toledo #2,wed
2357,pre,True,2017-09-14 15:30:00,Thursday,4.0,1.0,0.0,0.0,0.0,def tackle,Toledo #3,thurs
