,activity,before_break,date,event,h2,h3,h4,h5,player,type
2720,pre,True,2017-09-09 14:35:00,Louisiana Game,0,1,0,0,linebacker,game
2717,pre,True,2017-09-09 14:35:00,Louisiana Game,0,0,0,0,cornerback,game
2716,pre,True,2017-09-09 14:35:00,Louisiana Game,0,0,0,0,def tackle,game
2712,pre,True,2017-09-09 14:40:00,Louisiana Game,1,0,0,0,wide receiver,game
2510,pre,True,2017-09-12 15:35:00,Toledo #1,0,0,0,0,tight end,tues
2511,pre,True,2017-09-12 15:35:00,Toledo #1,1,0,0,0,off guard,tues
2509,pre,True,2017-09-12 15:40:00,Toledo #1,0,1,0,0,wide receiver,tues
2508,pre,True,2017-09-12 15:40:00,Toledo #1,0,1,0,0,off guard,tues
2433,pre,True,2017-09-13 15:35:00,Toledo #2,0,0,0,0,off guard,wed
2432,pre,True,2017-09-13 15:40:00,Toledo #2,0,0,0,0,off tackle,wed
2431,pre,True,2017-09-13 15:40:00,Toledo #2,0,0,0,0,off tackle,wed
2352,pre,True,2017-09-14 15:30:00,Toledo #3,1,0,0,0,def tackle,thurs
2350,pre,True,2017-09-14 15:35:00,Toledo #3,1,0,0,0,off guard,thurs
2351,pre,True,2017-09-14 15:35:00,Toledo #3,0,0,0,0,def tackle,thurs
2348,pre,True,2017-09-14 15:40:00,Toledo #3,0,0,1,0,off guard,thurs
2347,pre,True,2017-09-14 15:40:00,Toledo #3,2,0,0,0,off guard,thurs
2349,pre,True,2017-09-14 15:40:00,Toledo #3,0,0,0,0,off tackle,thurs
2281,pre,True,2017-09-16 17:20:00,Toledo Game,0,0,0,0,wide receiver,game
2280,pre,True,2017-09-16 17:30:00,Toledo Game,1,0,0,0,off guard,game
2279,pre,True,2017-09-16 17:30:00,Toledo Game,0,0,0,0,running back,game
2278,pre,True,2017-09-16 17:30:00,Toledo Game,0,0,0,0,def tackle,game
2277,pre,True,2017-09-16 17:30:00,Toledo Game,0,0,0,0,off guard,game
2276,pre,True,2017-09-16 17:30:00,Toledo Game,0,0,0,0,wide receiver,game
2275,pre,True,2017-09-16 17:35:00,Toledo Game,1,2,1,0,linebacker,game
2274,pre,True,2017-09-16 17:35:00,Toledo Game,0,0,0,0,def end,game
2273,pre,True,2017-09-16 17:35:00,Toledo Game,1,0,0,0,linebacker,game
2095,pre,True,2017-09-20 15:40:00,New Mexico #2,1,0,0,0,tight end,wed
2053,pre,True,2017-09-23 11:45:00,New Mexico Game,0,0,0,0,wide receiver,game
2052,pre,True,2017-09-23 11:55:00,New Mexico Game,0,1,0,0,def tackle,game
2049,pre,True,2017-09-23 12:00:00,New Mexico Game,0,0,0,0,cornerback,game
2050,pre,True,2017-09-23 12:00:00,New Mexico Game,1,0,0,0,wide receiver,game
2051,pre,True,2017-09-23 12:00:00,New Mexico Game,0,0,0,0,def tackle,game
2048,pre,True,2017-09-23 12:05:00,New Mexico Game,1,0,0,0,linebacker,game
2047,pre,True,2017-09-23 12:05:00,New Mexico Game,0,1,0,0,wide receiver,game
2046,pre,True,2017-09-23 12:05:00,New Mexico Game,2,0,0,0,linebacker,game
1907,pre,True,2017-09-26 15:40:00,Navy #1,0,0,0,0,tight end,tues
1869,pre,True,2017-09-27 15:40:00,Navy #2,0,0,0,0,cornerback,wed
1868,pre,True,2017-09-27 15:40:00,Navy #2,0,0,0,0,linebacker,wed
1867,pre,True,2017-09-27 15:40:00,Navy #2,3,0,0,1,tight end,wed
1792,pre,True,2017-09-30 13:35:00,Navy Game,0,0,0,0,wide receiver,game
1791,pre,True,2017-09-30 13:55:00,Navy Game,0,0,0,0,linebacker,game
1790,pre,True,2017-09-30 14:00:00,Navy Game,0,0,0,0,def end,game
1789,pre,True,2017-09-30 14:00:00,Navy Game,1,0,0,0,linebacker,game
1788,pre,True,2017-09-30 14:00:00,Navy Game,2,1,0,0,linebacker,game
1787,pre,True,2017-09-30 14:00:00,Navy Game,0,0,0,0,running back,game
1786,pre,True,2017-09-30 14:00:00,Navy Game,0,0,0,0,tight end,game
1785,pre,True,2017-09-30 14:00:00,Navy Game,1,0,0,0,cornerback,game
1784,pre,True,2017-09-30 14:05:00,Navy Game,1,0,0,0,off guard,game
1783,pre,True,2017-09-30 14:10:00,Navy Game,0,0,0,0,def end,game
1782,pre,True,2017-09-30 14:10:00,Navy Game,1,0,0,0,running back,game
1633,pre,True,2017-10-03 15:35:00,Tulane #1,0,0,0,0,tight end,tues
1600,pre,True,2017-10-07 09:35:00,Tulane Game,0,0,0,0,linebacker,game
