,event,day,player,pcode,ptype,h2,h3,h4,h5,sum24,num_players,minutes,plyrmnts
349,fall camp practice #14,2017-08-16,tight end,te,offensive,1.9841269841269842,2.4801587301587302,1.4880952380952381,0.0,5.9523809523809526,2,126.0,252.0
353,fall camp practice #17,2017-08-19,tight end,te,offensive,0.0,0.0,0.0,0.0,0.0,2,65.0,130.0
359,fall camp practice #2,2017-08-01,tight end,te,offensive,0.0,0.5841121495327103,0.0,0.0,0.5841121495327103,2,107.0,214.0
369,fall camp practice #3,2017-08-02,tight end,te,offensive,6.944444444444445,1.9841269841269842,0.49603174603174605,0.0,9.424603174603174,2,126.0,252.0
378,fall camp practice #4,2017-08-03,tight end,te,offensive,7.936507936507937,6.448412698412699,0.49603174603174605,0.0,14.880952380952383,2,126.0,252.0
387,fall camp practice #5,2017-08-04,tight end,te,offensive,3.9682539682539684,2.9761904761904763,0.9920634920634921,0.0,7.936507936507937,2,126.0,252.0
397,fall camp practice #6,2017-08-06,tight end,te,offensive,1.9841269841269842,3.4722222222222223,0.9920634920634921,0.9920634920634921,6.448412698412699,2,126.0,252.0
407,fall camp practice #7,2017-08-07,tight end,te,offensive,3.9682539682539684,3.4722222222222223,0.9920634920634921,0.9920634920634921,8.432539682539684,2,126.0,252.0
416,fall camp practice #8,2017-08-08,tight end,te,offensive,2.9761904761904763,1.9841269841269842,0.49603174603174605,0.0,5.4563492063492065,2,126.0,252.0
425,fall camp scrimmage #1,2017-08-09,tight end,te,offensive,3.515625,0.78125,0.390625,0.0,4.6875,2,160.0,320.0
433,fall camp scrimmage #2,2017-08-18,tight end,te,offensive,2.819548872180451,1.4097744360902256,0.4699248120300752,1.4097744360902256,4.6992481203007515,2,133.0,266.0
