event,before_break,day,event_type,h2,h3,h4,h5,total_players,def_players,off_players,def_min,off_min,player_min,sum24,sum34,n2,n3,n4,n5,n24,n34
fall camp practice #11,pre,2017-08-12,camp,13,12,2,1,19,9,10,94,74,1586,27,14,0.0081967213,0.0075662043,0.001261034,0.000630517,0.0170239596,0.0088272383
fall camp practice #12,post,2017-08-13,camp,14,8,2,0,18,9,9,52,52,936,24,10,0.014957265,0.0085470085,0.0021367521,0,0.0256410256,0.0106837607
fall camp practice #12,pre,2017-08-13,camp,16,8,0,0,18,9,9,84,74,1422,24,8,0.0112517581,0.005625879,0,0,0.0168776371,0.005625879
fall camp practice #13,post,2017-08-14,camp,23,4,3,0,18,9,9,52,52,936,30,7,0.0245726496,0.0042735043,0.0032051282,0,0.0320512821,0.0074786325
fall camp practice #13,pre,2017-08-14,camp,12,5,0,1,18,9,9,84,74,1422,17,5,0.0084388186,0.0035161744,0,0.0007032349,0.011954993,0.0035161744
fall camp practice #14,post,2017-08-16,camp,17,6,3,0,19,10,9,52,52,988,26,9,0.0172064777,0.0060728745,0.0030364372,0,0.0263157895,0.0091093117
fall camp practice #14,pre,2017-08-16,camp,13,8,1,0,19,10,9,84,74,1506,22,9,0.0086321381,0.005312085,0.0006640106,0,0.0146082337,0.0059760956
fall camp scrimmage #2,post,2017-08-18,camp,33,13,8,3,19,9,10,97,97,1843,54,21,0.0179055887,0.0070537168,0.0043407488,0.0016277808,0.0293000543,0.0113944655
fall camp scrimmage #2,pre,2017-08-18,camp,6,3,1,0,19,9,10,46,36,774,10,4,0.007751938,0.003875969,0.0012919897,0,0.0129198966,0.0051679587
Oklahoma State #1,post,2017-08-20,tues,16,10,1,1,20,10,10,60,57,1170,27,11,0.0136752137,0.0085470085,0.0008547009,0.0008547009,0.0230769231,0.0094017094
Oklahoma State #1,pre,2017-08-20,tues,5,2,1,0,20,10,10,58,58,1160,8,3,0.0043103448,0.0017241379,0.000862069,0,0.0068965517,0.0025862069
Oklahoma State #2,post,2017-08-22,tues,11,5,4,0,20,10,10,57,57,1140,20,9,0.0096491228,0.0043859649,0.0035087719,0,0.0175438596,0.0078947368
Oklahoma State #2,pre,2017-08-22,tues,2,3,0,0,20,10,10,68,58,1260,5,3,0.0015873016,0.0023809524,0,0,0.003968254,0.0023809524
