,activity,before_break,date,event,h2,h3,h4,h5,player,type
4354,team vs. def,False,2017-08-02 11:20:00,fall camp practice #3,0.0,0.0,0.0,0.0,off guard,camp
4355,team vs. offense,False,2017-08-02 11:20:00,fall camp practice #3,0.0,0.0,0.0,0.0,safety,camp
4356,team vs. def,False,2017-08-02 11:20:00,fall camp practice #3,0.0,0.0,0.0,0.0,off tackle,camp
4353,team vs. def,False,2017-08-02 11:20:00,fall camp practice #3,0.0,0.1,0.0,0.1,running back,camp
4349,team vs. offense,False,2017-08-02 11:25:00,fall camp practice #3,0.0,0.1111111111111111,0.0,0.0,linebacker,camp
4348,team vs. def,False,2017-08-02 11:25:00,fall camp practice #3,0.1,0.0,0.0,0.0,off guard,camp
4347,team vs. offense,False,2017-08-02 11:25:00,fall camp practice #3,0.0,0.1111111111111111,0.0,0.0,cornerback,camp
4346,pre,True,2017-08-03 09:35:00,fall camp practice #4,0.1,0.1,0.0,0.0,tight end,camp
4339,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.1,0.0,0.0,0.0,def tackle,camp
4340,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.1,0.0,0.0,0.0,tight end,camp
4341,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.0,0.1,0.0,0.0,off tackle,camp
4344,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4343,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4345,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.1,0.0,0.0,0.0,def end,camp
4342,indy,True,2017-08-03 09:50:00,fall camp practice #4,0.1,0.0,0.0,0.0,off guard,camp
4333,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.1,0.0,0.0,0.0,def tackle,camp
4332,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.1,0.0,0.0,0.0,def tackle,camp
4334,otb,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.2,0.0,0.0,tight end,camp
4338,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.1,0.0,0.0,def end,camp
4336,otb,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.0,0.0,off tackle,camp
4337,otb,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4335,indy,True,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4331,vice pursuit,True,2017-08-03 10:00:00,fall camp practice #4,0.16666666666666666,0.0,0.0,0.0,linebacker,camp
4330,indy,True,2017-08-03 10:05:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4329,indy,True,2017-08-03 10:05:00,fall camp practice #4,0.0,0.25,0.0,0.0,def end,camp
4328,inside/1on1,True,2017-08-03 10:10:00,fall camp practice #4,0.1,0.0,0.0,0.0,off tackle,camp
4327,inside/1on1,True,2017-08-03 10:10:00,fall camp practice #4,0.1,0.0,0.0,0.0,tight end,camp
4326,inside,True,2017-08-03 10:10:00,fall camp practice #4,0.16666666666666666,0.0,0.0,0.0,def end,camp
4325,inside/1on1,True,2017-08-03 10:10:00,fall camp practice #4,0.1,0.0,0.0,0.0,running back,camp
4315,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.1,0.0,0.0,0.0,tight end,camp
4316,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.1,0.1,0.0,0.0,tight end,camp
4312,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.16666666666666666,0.16666666666666666,0.0,0.0,def tackle,camp
4313,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.1,0.1,0.0,0.0,off guard,camp
4317,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.16666666666666666,0.0,0.0,0.0,def end,camp
4314,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.1,0.0,0.0,0.0,off tackle,camp
4319,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.16666666666666666,0.0,0.0,0.0,linebacker,camp
4324,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.1,0.0,0.0,running back,camp
4323,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.1,0.0,0.0,0.0,off guard,camp
4318,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.16666666666666666,0.16666666666666666,0.0,0.0,def tackle,camp
4321,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.1,0.0,0.0,running back,camp
4320,1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.25,0.0,0.0,safety,camp
4322,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.16666666666666666,0.0,0.0,0.0,linebacker,camp
4311,skell vs. def,True,2017-08-03 10:20:00,fall camp practice #4,0.1,0.1,0.0,0.0,tight end,camp
4310,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.0,0.1,0.0,0.0,safety,camp
4309,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.1,0.0,0.0,0.0,off tackle,camp
4308,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.1,0.0,0.0,0.0,tight end,camp
4307,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.1,0.0,0.1,0.0,running back,camp
4306,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.1,0.0,0.0,0.0,def tackle,camp
4305,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.1,0.1,0.0,0.0,running back,camp
4304,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.1,0.0,0.0,0.0,linebacker,camp
4303,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.1,0.0,0.0,0.0,off guard,camp
4302,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4301,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.0,0.0,0.0,0.0,linebacker,camp
4300,team situation,False,2017-08-03 10:40:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4299,team situation,False,2017-08-03 10:40:00,fall camp practice #4,0.2,0.0,0.0,0.0,tight end,camp
4298,skell vs. def,False,2017-08-03 10:50:00,fall camp practice #4,0.1,0.1,0.0,0.0,tight end,camp
4297,skell vs. offense,False,2017-08-03 10:50:00,fall camp practice #4,0.0,0.16666666666666666,0.0,0.0,linebacker,camp
4296,skell vs. def,False,2017-08-03 10:50:00,fall camp practice #4,0.0,0.1,0.0,0.0,tight end,camp
4295,skell vs. offense,False,2017-08-03 10:55:00,fall camp practice #4,0.16666666666666666,0.16666666666666666,0.0,0.0,linebacker,camp
4294,pass rush,False,2017-08-03 10:55:00,fall camp practice #4,0.25,0.0,0.0,0.0,def tackle,camp
4293,team w/ 3s,False,2017-08-03 11:00:00,fall camp practice #4,0.1,0.2,0.0,0.0,tight end,camp
4292,team w/ 3s,False,2017-08-03 11:00:00,fall camp practice #4,0.1,0.0,0.0,0.0,off guard,camp
4291,team w/ 3s,False,2017-08-03 11:00:00,fall camp practice #4,0.0,0.0,0.0,0.0,def tackle,camp
4285,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.0,0.1,0.0,0.0,def tackle,camp
4283,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.1,0.1,0.0,0.0,tight end,camp
4286,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.1,0.0,0.0,0.0,running back,camp
4284,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.2,0.0,0.0,0.0,tight end,camp
4288,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.0,0.0,0.0,0.0,def tackle,camp
4287,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.1,0.1,0.0,0.0,off tackle,camp
4289,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4290,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.1,0.0,0.0,0.0,linebacker,camp
4276,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.0,0.0,def tackle,camp
4277,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.1,0.0,0.0,linebacker,camp
4278,team vs. def,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.1,0.0,0.0,running back,camp
4282,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.1,0.0,0.0,0.0,safety,camp
4280,team vs. def,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4281,team vs. def,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4279,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.2,0.1,0.0,0.0,linebacker,camp
4267,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4269,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.1,0.0,0.0,0.0,safety,camp
4270,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.1,0.1,0.0,0.0,linebacker,camp
4268,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.1,0.0,0.0,running back,camp
4272,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.1,0.0,0.0,0.0,def tackle,camp
4273,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.2,0.1,0.0,tight end,camp
4271,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4274,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.1,0.0,0.0,0.0,linebacker,camp
4275,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.1,0.0,def end,camp
4261,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.0,0.1,0.1,0.0,running back,camp
4262,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.1,0.0,0.0,0.0,running back,camp
4264,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.0,0.0,0.0,0.0,off tackle,camp
4265,team vs. offense,False,2017-08-03 11:20:00,fall camp practice #4,0.2,0.0,0.0,0.0,safety,camp
4266,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.2,0.1,0.0,0.0,tight end,camp
4263,team vs. offense,False,2017-08-03 11:20:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4259,team vs. offense,False,2017-08-03 11:25:00,fall camp practice #4,0.0,0.1,0.0,0.0,linebacker,camp
