,event,before_break,day,event_type,h2,h3,h4,h5,total_players,def_players,off_players,def_min,off_min,player_min,sum24,sum34,n2,n3,n4,n5,n24,n34
51,Oklahoma State #7,pre,2017-08-27,thurs,13.0,2.0,0.0,0.0,20,10,10,92.0,92.0,1840.0,15.0,2.0,0.007065217391304348,0.0010869565217391304,0.0,0.0,0.008152173913043478,0.0010869565217391304
52,Oklahoma State #8,pre,2017-08-29,thurs,47.0,20.0,15.0,15.0,20,10,10,92.0,92.0,1840.0,82.0,35.0,0.025543478260869567,0.010869565217391304,0.008152173913043478,0.008152173913043478,0.04456521739130435,0.019021739130434784
53,Oklahoma State Game,post,2017-08-31,game,41.0,21.0,9.0,3.0,20,10,10,11.13,18.87,300.0,71.0,30.0,0.13666666666666666,0.07,0.03,0.01,0.23666666666666666,0.1
54,Oklahoma State Game,pre,2017-08-31,game,70.0,41.0,15.0,8.0,20,10,10,12.2,17.8,300.0,126.0,56.0,0.23333333333333334,0.13666666666666666,0.05,0.02666666666666667,0.42,0.18666666666666668
15,Louisiana #1,post,2017-09-05,tues,24.0,15.0,3.0,2.0,20,10,10,57.0,57.0,1140.0,42.0,18.0,0.021052631578947368,0.013157894736842105,0.002631578947368421,0.0017543859649122807,0.03684210526315789,0.015789473684210527
16,Louisiana #1,pre,2017-09-05,tues,30.0,17.0,3.0,4.0,20,10,10,70.0,60.0,1300.0,50.0,20.0,0.023076923076923078,0.013076923076923076,0.002307692307692308,0.003076923076923077,0.038461538461538464,0.015384615384615385
17,Louisiana #2,post,2017-09-06,wed,18.0,16.0,5.0,5.0,20,10,10,57.0,57.0,1140.0,39.0,21.0,0.015789473684210527,0.014035087719298246,0.0043859649122807015,0.0043859649122807015,0.034210526315789476,0.018421052631578946
18,Louisiana #2,pre,2017-09-06,wed,31.0,18.0,3.0,0.0,20,10,10,78.0,68.0,1460.0,52.0,21.0,0.021232876712328767,0.012328767123287671,0.002054794520547945,0.0,0.03561643835616438,0.014383561643835616
19,Louisiana #3,pre,2017-09-07,thurs,18.0,3.0,0.0,0.0,20,10,10,122.0,112.0,2340.0,21.0,3.0,0.007692307692307693,0.001282051282051282,0.0,0.0,0.008974358974358974,0.001282051282051282
20,Louisiana Game,post,2017-09-09,game,66.0,22.0,2.0,5.0,20,10,10,11.97,18.03,300.0,90.0,24.0,0.22,0.07333333333333333,0.006666666666666667,0.016666666666666666,0.3,0.08
21,Louisiana Game,pre,2017-09-09,game,72.0,36.0,10.0,7.0,20,10,10,15.5,14.5,300.0,118.0,46.0,0.24,0.12,0.03333333333333333,0.023333333333333334,0.3933333333333333,0.15333333333333332
77,Toledo #1,post,2017-09-12,tues,34.0,23.0,3.0,1.0,17,9,8,57.0,57.0,969.0,60.0,26.0,0.03508771929824561,0.023735810113519093,0.0030959752321981426,0.0010319917440660474,0.06191950464396285,0.026831785345717233
78,Toledo #1,pre,2017-09-12,tues,15.0,12.0,4.0,1.0,17,9,8,70.0,60.0,1110.0,31.0,16.0,0.013513513513513514,0.010810810810810811,0.0036036036036036037,0.0009009009009009009,0.027927927927927927,0.014414414414414415
79,Toledo #2,post,2017-09-13,wed,42.0,10.0,7.0,3.0,19,10,9,57.0,57.0,1083.0,59.0,17.0,0.038781163434903045,0.009233610341643583,0.006463527239150508,0.002770083102493075,0.05447830101569714,0.01569713758079409
80,Toledo #2,pre,2017-09-13,wed,21.0,7.0,0.0,0.0,19,10,9,78.0,68.0,1392.0,28.0,7.0,0.015086206896551725,0.005028735632183908,0.0,0.0,0.020114942528735632,0.005028735632183908
81,Toledo #3,pre,2017-09-14,thurs,49.0,37.0,8.0,1.0,18,9,9,132.0,132.0,2376.0,94.0,45.0,0.020622895622895623,0.015572390572390573,0.003367003367003367,0.00042087542087542086,0.03956228956228956,0.01893939393939394
82,Toledo Game,post,2017-09-16,game,51.0,35.0,14.0,4.0,18,9,9,10.38,19.62,270.0,100.0,49.0,0.18888888888888888,0.12962962962962962,0.05185185185185185,0.014814814814814815,0.37037037037037035,0.1814814814814815
