,activity,before_break,date,event,h2,h3,h4,h5,player,type
4268,skell vs. offense,False,2017-08-03 10:50:00,fall camp practice #4,0.0,0.5,0.0,0.0,linebacker,camp
4267,skell vs. def,False,2017-08-03 10:50:00,fall camp practice #4,0.0,0.5,0.0,0.0,tight end,camp
4266,skell vs. offense,False,2017-08-03 10:55:00,fall camp practice #4,0.5,0.5,0.0,0.0,linebacker,camp
4265,pass rush,False,2017-08-03 10:55:00,fall camp practice #4,0.5,0.0,0.0,0.0,def tackle,camp
4264,team w/ 3s,False,2017-08-03 11:00:00,fall camp practice #4,0.5,1.0,0.0,0.0,tight end,camp
4263,team w/ 3s,False,2017-08-03 11:00:00,fall camp practice #4,0.5,0.0,0.0,0.0,off guard,camp
4262,team w/ 3s,False,2017-08-03 11:00:00,fall camp practice #4,0.0,0.0,0.0,0.0,def tackle,camp
4261,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.5,0.0,0.0,0.0,linebacker,camp
4260,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4259,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.0,0.0,0.0,0.0,def tackle,camp
4258,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.5,0.5,0.0,0.0,off tackle,camp
4257,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.5,0.0,0.0,0.0,running back,camp
4256,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.0,0.5,0.0,0.0,def tackle,camp
4255,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,1.0,0.0,0.0,0.0,tight end,camp
4254,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.5,0.5,0.0,0.0,tight end,camp
4247,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.0,0.0,def tackle,camp
4248,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.5,0.0,0.0,linebacker,camp
4249,team vs. def,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.5,0.0,0.0,running back,camp
4251,team vs. def,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4252,team vs. def,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4253,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.5,0.0,0.0,0.0,safety,camp
4250,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,1.0,0.5,0.0,0.0,linebacker,camp
4246,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.5,0.0,def end,camp
4245,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.5,0.0,0.0,0.0,linebacker,camp
4244,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.0,1.0,0.5,0.0,tight end,camp
4243,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.5,0.0,0.0,0.0,def tackle,camp
4242,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4241,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.5,0.5,0.0,0.0,linebacker,camp
4240,team vs. offense,False,2017-08-03 11:15:00,fall camp practice #4,0.5,0.0,0.0,0.0,safety,camp
4239,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.5,0.0,0.0,running back,camp
4238,team vs. def,False,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.0,0.0,off guard,camp
4232,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.0,0.5,0.5,0.0,running back,camp
4233,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.5,0.0,0.0,0.0,running back,camp
4235,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,0.0,0.0,0.0,0.0,off tackle,camp
4236,team vs. offense,False,2017-08-03 11:20:00,fall camp practice #4,1.0,0.0,0.0,0.0,safety,camp
4237,team vs. def,False,2017-08-03 11:20:00,fall camp practice #4,1.0,0.5,0.0,0.0,tight end,camp
4234,team vs. offense,False,2017-08-03 11:20:00,fall camp practice #4,0.0,0.0,0.0,0.0,def end,camp
4231,team vs. def,False,2017-08-03 11:25:00,fall camp practice #4,0.5,0.5,0.0,0.0,off guard,camp
4230,team vs. offense,False,2017-08-03 11:25:00,fall camp practice #4,0.0,0.5,0.0,0.0,linebacker,camp
4229,team vs. def,False,2017-08-03 11:25:00,fall camp practice #4,0.0,0.0,0.0,0.0,tight end,camp
4228,team vs. offense,False,2017-08-03 11:25:00,fall camp practice #4,0.0,0.0,0.5,0.0,safety,camp
4227,post-practice/turn over,False,2017-08-03 11:35:00,fall camp practice #4,0.5,0.5,0.0,0.0,linebacker,camp
4226,post-practice,False,2017-08-03 11:35:00,fall camp practice #4,0.0,0.5,0.0,0.0,off guard,camp
4225,pre,True,2017-08-04 09:35:00,fall camp practice #5,0.5,0.0,0.0,0.0,tight end,camp
