,activity,before_break,date,event,h2,h3,h4,h5,pcode,player,ptype,type,day
4401,1on1,pre,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,1.0,safety,safety,defensive,camp,2017-08-02
4397,inside/1on1,pre,2017-08-02 10:15:00,fall camp practice #3,1.0,0.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-02
4398,inside,pre,2017-08-02 10:15:00,fall camp practice #3,1.0,1.0,0.0,0.0,de,def end,defensive,camp,2017-08-02
4399,inside,pre,2017-08-02 10:15:00,fall camp practice #3,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4400,inside/1on1,pre,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4396,inside,pre,2017-08-02 10:15:00,fall camp practice #3,0.0,0.0,0.0,1.0,lb,linebacker,defensive,camp,2017-08-02
4390,skell vs. def,pre,2017-08-02 10:20:00,fall camp practice #3,1.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-02
4389,team situation,pre,2017-08-02 10:30:00,fall camp practice #3,1.0,0.0,0.0,0.0,safety,safety,defensive,camp,2017-08-02
4383,team situation,pre,2017-08-02 10:35:00,fall camp practice #3,2.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-02
4385,team situation,pre,2017-08-02 10:35:00,fall camp practice #3,0.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4384,team situation,pre,2017-08-02 10:35:00,fall camp practice #3,1.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-02
4388,team situation,pre,2017-08-02 10:35:00,fall camp practice #3,1.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-02
4386,team situation,pre,2017-08-02 10:35:00,fall camp practice #3,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4387,team situation,pre,2017-08-02 10:35:00,fall camp practice #3,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-02
4382,team situation,post,2017-08-02 10:40:00,fall camp practice #3,0.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4381,team situation,post,2017-08-02 10:40:00,fall camp practice #3,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4380,skell vs. def,post,2017-08-02 10:55:00,fall camp practice #3,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4379,team w/ 3s,post,2017-08-02 11:00:00,fall camp practice #3,1.0,1.0,1.0,0.0,te,tight end,offensive,camp,2017-08-02
4378,team w/ 3s,post,2017-08-02 11:00:00,fall camp practice #3,0.0,1.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
